from_path,new_url,http_status,title,content_type,source_full_url,needs_manual_review
/,/,200,H&M Herbs & Vitamins,text/html; charset=UTF-8,https://hmherbs.com/,
/index.php/products/aps-mesomorph-rocket-pop-1,/product.html?slug=aps-mesomorph-rocket-pop-1,200,APS MESOMORPH ROCKET POP :: H&M Herbs & Vitamins,text/html; charset=UTF-8,https://hmherbs.com/index.php/products/aps-mesomorph-rocket-pop-1,
/index.php/products/association-natural-health-edsa-biofeedback-testing,/product.html?slug=association-natural-health-edsa-biofeedback-testing,200,Association of Natural Health EDSA Biofeedback Testing :: H&M Herbs & Vitamins,text/html; charset=UTF-8,https://hmherbs.com/index.php/products/association-natural-health-edsa-biofeedback-testing,
/index.php/products/big-bang,/product.html?slug=big-bang,200,Big Bang Male Enhancement :: H&M Herbs & Vitamins,text/html; charset=UTF-8,https://hmherbs.com/index.php/products/big-bang,
/index.php/products/bio-tech-d3-5000-1,/product.html?slug=bio-tech-d3-5000-1,200,"BIO TECH D3  5,000 :: H&M Herbs & Vitamins",text/html; charset=UTF-8,https://hmherbs.com/index.php/products/bio-tech-d3-5000-1,
/index.php/products/bioneurix-amoryn,/product.html?slug=bioneurix-amoryn,200,BIONEURIX  AMORYN :: H&M Herbs & Vitamins,text/html; charset=UTF-8,https://hmherbs.com/index.php/products/bioneurix-amoryn,
/index.php/products/bioneurix-seredyn,/product.html?slug=bioneurix-seredyn,200,BIONEURIX SEREDYN :: H&M Herbs & Vitamins,text/html; charset=UTF-8,https://hmherbs.com/index.php/products/bioneurix-seredyn,
/index.php/products/bravo-tea-blood-pressure,/product.html?slug=bravo-tea-blood-pressure,200,BRAVO TEA BLOOD PRESSURE :: H&M Herbs & Vitamins,text/html; charset=UTF-8,https://hmherbs.com/index.php/products/bravo-tea-blood-pressure,
/index.php/products/buried-treasure-acf-ext-strength-pm,/product.html?slug=buried-treasure-acf-ext-strength-pm,200,BURIED TREASURE ACF EXT STRENGTH PM :: H&M Herbs & Vitamins,text/html; charset=UTF-8,https://hmherbs.com/index.php/products/buried-treasure-acf-ext-strength-pm,
/index.php/products/buried-treasure-acf-pm,/product.html?slug=buried-treasure-acf-pm,200,BURIED TREASURE ACF PM :: H&M Herbs & Vitamins,text/html; charset=UTF-8,https://hmherbs.com/index.php/products/buried-treasure-acf-pm,
/index.php/products/buried-treasure-herbal-iron,/product.html?slug=buried-treasure-herbal-iron,200,Buried Treasure Herbal Iron :: H&M Herbs & Vitamins,text/html; charset=UTF-8,https://hmherbs.com/index.php/products/buried-treasure-herbal-iron,
/index.php/products/buried-treasure-neuro-nector,/product.html?slug=buried-treasure-neuro-nector,200,BURIED TREASURE NEURO NECTOR :: H&M Herbs & Vitamins,text/html; charset=UTF-8,https://hmherbs.com/index.php/products/buried-treasure-neuro-nector,
/index.php/products/burro,/product.html?slug=burro,200,Burro :: H&M Herbs & Vitamins,text/html; charset=UTF-8,https://hmherbs.com/index.php/products/burro,
/index.php/products/c-grace-unique-e-180-sg,/product.html?slug=c-grace-unique-e-180-sg,200,A C GRACE UNIQUE E 180 SG :: H&M Herbs & Vitamins,text/html; charset=UTF-8,https://hmherbs.com/index.php/products/c-grace-unique-e-180-sg,
/index.php/products/c-grace-unique-e-tocotrienol,/product.html?slug=c-grace-unique-e-tocotrienol,200,A C Grace Tocotrienol - Free Shipping :: H&M Herbs & Vitamins,text/html; charset=UTF-8,https://hmherbs.com/index.php/products/c-grace-unique-e-tocotrienol,
/index.php/products/c-grace-unique-e-tocotrienol-1,/product.html?slug=c-grace-unique-e-tocotrienol-1,200,A C GRACE UNIQUE E TOCOTRIENOL :: H&M Herbs & Vitamins,text/html; charset=UTF-8,https://hmherbs.com/index.php/products/c-grace-unique-e-tocotrienol-1,
